,Year,Country,Population,Gas consumption,Coal consumption,Oil consumption,FossilFuelGrowth,CoalGrowth,GasGrowth,OilGrowth,AverageTemperature,AverageTemperatureUncertainty,TempMinus1,TempMinus2,TempMinus5
0,1980,Algeria,19220000.0,13030000000.0,92870.0,7026000.0,28.703,-0.09300000000000001,27.913,0.884,23.160166,0.38291666,,,
62,1981,Algeria,19820000.0,9799000000.0,279100.0,7375000.0,37.721,-0.221,32.821,5.121,23.57925,0.35983333,23.160166,,
124,1982,Algeria,20450000.0,15660000000.0,746000.0,8304000.0,32.592,9.188,19.154,4.25,23.094168,0.34241667,23.57925,23.160166,
186,1983,Algeria,21100000.0,18580000000.0,1210000.0,7898000.0,23.576000000000004,-1.047,15.304,9.319,23.683,0.333,23.094168,23.57925,
248,1984,Algeria,21760000.0,19260000000.0,1247000.0,8710000.0,-11.412,0.9419999999999998,-21.464,9.11,23.063084,0.37366667,23.683,23.094168,
310,1985,Algeria,22430000.0,16540000000.0,1247000.0,9582000.0,1.527,0.419,-1.444,2.552,23.52625,0.35875,23.063084,23.683,23.160166
372,1986,Algeria,23100000.0,17050000000.0,1260000.0,9651000.0,16.365,0.267,14.63,1.4669999999999999,23.256666,0.33566666,23.52625,23.063084,23.57925
434,1987,Algeria,23770000.0,18580000000.0,1277000.0,9721000.0,6.941,2.012,3.85,1.079,24.24775,0.32741666,23.256666,23.52625,23.094168
496,1988,Algeria,24440000.0,20160000000.0,1296000.0,10030000.0,21.188,-0.733,21.849,0.072,23.815666,0.34233335,24.24775,23.256666,23.683
558,1989,Algeria,25110000.0,18690000000.0,1313000.0,10620000.0,-8.481,-1.7909999999999997,-11.454,4.764,23.724333,0.29991665,23.815666,24.24775,23.063084
620,1990,Algeria,25760000.0,19290000000.0,1222000.0,11240000.0,18.175,-2.117,12.416000000000002,7.875,24.014416,0.39791667,23.724333,23.815666,23.52625
682,1991,Algeria,26400000.0,21950000000.0,1131000.0,12080000.0,-3.346,0.244,-2.406,-1.184,23.011084,0.36108333,24.014416,23.724333,23.256666
745,1992,Algeria,27030000.0,20670000000.0,1049000.0,12220000.0,8.41,1.489,6.256,0.665,22.767,0.34533334,23.011084,24.014416,24.24775
820,1993,Algeria,27640000.0,18550000000.0,823900.0,11970000.0,-22.687,-1.745,-20.405,-0.538,23.450832,0.34891668,22.767,23.011084,23.815666
896,1994,Algeria,28210000.0,19550000000.0,840000.0,11820000.0,4.479,-0.442,9.625,-4.704,23.642082,0.32141668,23.450832,22.767,23.724333
972,1995,Algeria,28760000.0,21010000000.0,502000.0,11880000.0,11.144,0.0,14.053000000000003,-2.9090000000000003,23.7225,0.31941667,23.642082,23.450832,24.014416
1048,1996,Algeria,29270000.0,21580000000.0,522300.0,11510000.0,-3.049,-3.815,5.486,-4.72,23.734333,0.40466666,23.7225,23.642082,23.011084
1124,1997,Algeria,29740000.0,20160000000.0,563000.0,11580000.0,-11.888,2.559,-13.668,-0.779,23.955166,0.35308334,23.734333,23.7225,22.767
1200,1998,Algeria,30190000.0,20850000000.0,633500.0,12010000.0,10.075,0.419,6.641000000000001,3.015,23.920584,0.33725,23.955166,23.734333,23.450832
1276,1999,Algeria,30620000.0,21310000000.0,632900.0,11480000.0,3.121,0.454,4.428,-1.76,24.299417,0.34516665,23.920584,23.955166,23.642082
1352,2000,Algeria,31040000.0,20560000000.0,589200.0,13020000.0,-11.048,-1.186,-14.095999999999998,4.234,24.03225,0.31633332,24.299417,23.920584,23.7225
1428,2001,Algeria,31450000.0,20440000000.0,547000.0,13260000.0,10.824,0.872,6.309,3.6429999999999993,24.724417,0.41075,24.03225,24.299417,23.734333
1504,2002,Algeria,31860000.0,20410000000.0,315600.0,14380000.0,11.174,2.035,-2.483,11.622,24.263,0.38175,24.724417,24.03225,23.955166
1580,2003,Algeria,32260000.0,20520000000.0,369800.0,14670000.0,14.369,-1.5,11.092999999999998,4.777,24.393667,0.39408332,24.263,24.724417,23.920584
1656,2004,Algeria,32690000.0,19280000000.0,381700.0,15250000.0,12.901000000000002,1.361,5.968,5.573,23.916,0.42041665,24.393667,24.263,24.299417
1732,2005,Algeria,33150000.0,23970000000.0,376900.0,15340000.0,15.627,-1.5,11.661,5.467,24.222584,0.41566667,23.916,24.393667,24.03225
1808,2006,Algeria,33640000.0,25600000000.0,249600.0,15540000.0,13.919000000000002,3.349,4.938,5.632000000000001,24.200832,0.37041667,24.222584,23.916,24.724417
1884,2007,Algeria,34170000.0,26460000000.0,255200.0,16020000.0,20.4,-1.454,5.309,16.544,24.065332,0.37516665,24.200832,24.222584,24.263
1960,2008,Algeria,34730000.0,27680000000.0,261000.0,18220000.0,23.761,0.0,10.235,13.526000000000002,23.95025,0.33825,24.065332,24.200832,24.393667
2036,2009,Algeria,35330000.0,28760000000.0,166200.0,20280000.0,25.143,-3.1519999999999997,18.076,10.219,24.154333,0.33641666,23.95025,24.065332,23.916
2112,2010,Algeria,35980000.0,28820000000.0,1694.0,20170000.0,-10.978,-2.047,-8.845,-0.08600000000000001,25.215666,0.292,24.154333,23.95025,24.222584
2188,2011,Algeria,36660000.0,32880000000.0,2000.0,20300000.0,26.469000000000005,-0.407,14.696999999999997,12.179,24.144167,0.31791666,25.215666,24.154333,24.200832
2264,2012,Algeria,37380000.0,35850000000.0,15770.0,21710000.0,43.136,0.19800000000000004,30.771,12.168,23.954834,0.48458335,24.144167,25.215666,24.065332
2340,2013,Algeria,38140000.0,32950000000.0,45830.0,23250000.0,30.097,-1.558,22.474,9.181,25.1215,0.437625,23.954834,24.144167,23.95025
1,1980,Argentina,27900000.0,10170000000.0,1360000.0,30850000.0,-11.909,-1.357,9.239,-19.79,15.226917,0.17125,,,
63,1981,Argentina,28340000.0,10250000000.0,1231000.0,29820000.0,-16.552,-0.584,5.057,-21.025,15.167417,0.18908334,15.226917,,
125,1982,Argentina,28790000.0,12910000000.0,1278000.0,28920000.0,5.142,0.106,15.949,-10.913000000000002,15.25675,0.18775,15.167417,15.226917,
187,1983,Argentina,29260000.0,12720000000.0,1176000.0,29470000.0,13.648000000000001,-0.9860000000000001,10.017,4.617,14.954333,0.1995,15.25675,15.167417,
249,1984,Argentina,29740000.0,16200000000.0,947000.0,28700000.0,-8.206,-2.495,9.239,-14.949999999999998,14.400833,0.1945,14.954333,15.25675,
311,1985,Argentina,30220000.0,16370000000.0,1120000.0,25960000.0,-16.763,3.414,3.307,-23.483999999999998,15.32625,0.22483334,14.400833,14.954333,15.226917
373,1986,Argentina,30700000.0,17700000000.0,1442000.0,27920000.0,47.132,1.51,12.545,33.077,15.33475,0.2085,15.32625,14.400833,15.167417
435,1987,Argentina,31180000.0,17130000000.0,1518000.0,28130000.0,18.63,1.33,0.09700000000000002,17.203,15.1875,0.218,15.33475,15.32625,15.25675
497,1988,Argentina,31670000.0,20190000000.0,1553000.0,26940000.0,27.879,0.333,28.3,-0.754,14.836333,0.19883333,15.1875,15.33475,14.954333
559,1989,Argentina,32150000.0,22680000000.0,1602000.0,24790000.0,-14.19,1.13,9.92,-25.24,15.543,0.1925,14.836333,15.1875,14.400833
621,1990,Argentina,32620000.0,20290000000.0,1421000.0,23690000.0,-25.221999999999998,-2.637,-9.239,-13.347,15.155084,0.23375,15.543,14.836333,15.32625
683,1991,Argentina,33080000.0,22110000000.0,1232000.0,24020000.0,9.185,-1.4720000000000002,3.5980000000000003,7.059,15.097584,0.169,15.155084,15.543,15.33475
746,1992,Argentina,33530000.0,22290000000.0,1224000.0,25160000.0,31.254,1.3739999999999999,16.338,13.542,14.739166,0.26233333,15.097584,15.155084,15.1875
821,1993,Argentina,33970000.0,23590000000.0,1122000.0,28820000.0,5.642,-4.098,12.156,-2.416,15.098666,0.20533334,14.739166,15.097584,14.836333
897,1994,Argentina,34400000.0,24250000000.0,1529000.0,25900000.0,-2.975,-1.005,6.419,-8.389,15.578667,0.22458333,15.098666,14.739166,15.543
973,1995,Argentina,34830000.0,26990000000.0,1387000.0,25420000.0,25.658,0.349,26.647000000000002,-1.338,15.149834,0.22383334,15.578667,15.098666,15.155084
1049,1996,Argentina,35250000.0,28610000000.0,1282000.0,27540000.0,48.580999999999996,0.353,38.706,9.523,15.211583,0.2315,15.149834,15.578667,15.097584
1125,1997,Argentina,35660000.0,28540000000.0,1230000.0,28260000.0,-24.965999999999998,-1.639,-23.632,0.305,15.6206665,0.20916668,15.211583,15.149834,14.739166
1201,1998,Argentina,36060000.0,30510000000.0,1214000.0,30740000.0,26.831,2.11,19.158,5.563,15.26175,0.20041667,15.6206665,15.211583,15.098666
1277,1999,Argentina,36470000.0,32360000000.0,1279000.0,28200000.0,1.913,1.648,17.991,-17.726,15.064917,0.19266666,15.26175,15.6206665,15.578667
1353,2000,Argentina,36870000.0,33210000000.0,1138000.0,31900000.0,8.305,-2.373,8.266,2.411,14.7505,0.198,15.064917,15.26175,15.149834
1429,2001,Argentina,37280000.0,31220000000.0,922000.0,30230000.0,-30.834999999999997,-1.356,-20.617,-8.862,15.370417,0.2105,14.7505,15.064917,15.211583
1505,2002,Argentina,37680000.0,30270000000.0,779000.0,27200000.0,-27.786,-1.571,-7.974999999999999,-18.241,15.18375,0.19925,15.370417,14.7505,15.6206665
1581,2003,Argentina,38090000.0,34580000000.0,946000.0,29180000.0,49.193000000000005,1.008,41.915,6.27,15.518333,0.25408334,15.18375,15.370417,15.26175
1657,2004,Argentina,38490000.0,37910000000.0,1116000.0,32560000.0,47.23,3.926,31.801,11.503,15.442166,0.21541667,15.518333,15.18375,15.064917
1733,2005,Argentina,38890000.0,40440000000.0,1432000.0,32710000.0,40.88,1.442,24.798999999999996,14.64,15.112833,0.19525,15.442166,15.518333,14.7505
1809,2006,Argentina,39290000.0,41770000000.0,1378000.0,34770000.0,25.251,-1.038,13.615,12.673,15.561083,0.24191667,15.112833,15.442166,15.370417
1885,2007,Argentina,39680000.0,43930000000.0,1414000.0,36560000.0,53.852,4.437,20.617,28.798999999999996,14.628083,0.189,15.561083,15.112833,15.18375
1961,2008,Argentina,40080000.0,44420000000.0,1620000.0,39760000.0,16.117,3.156,4.765,8.196,15.476,0.20475,14.628083,15.561083,15.518333
2037,2009,Argentina,40480000.0,43150000000.0,1561000.0,38210000.0,-27.560999999999996,-7.895,-13.532000000000002,-6.134,15.534417,0.21575,15.476,14.628083,15.442166
2113,2010,Argentina,40900000.0,43300000000.0,1504000.0,42500000.0,41.842,3.8510000000000004,2.519,35.472,15.078834,0.21891667,15.534417,15.476,15.112833
2189,2011,Argentina,41320000.0,46140000000.0,1620000.0,42100000.0,19.13,1.147,17.524,0.46,15.339666,0.21983333,15.078834,15.534417,15.561083
2265,2012,Argentina,41760000.0,46450000000.0,1721000.0,43980000.0,30.272000000000002,-0.949,18.244,12.978,15.689,0.26575,15.339666,15.078834,14.628083
2341,2013,Argentina,42200000.0,46680000000.0,1755000.0,44360000.0,29.364,1.27,3.635,24.459,14.457125,0.2765,15.689,15.339666,15.476
2,1980,Australia,14590000.0,9119000000.0,67360000.0,34520000.0,7.89,9.222,14.291000000000002,-15.622,22.586166,0.17183334,,,
64,1981,Australia,14780000.0,10420000000.0,68310000.0,33910000.0,5.812,8.375,9.279,-11.842,22.164083,0.19533333,22.586166,,
126,1982,Australia,14980000.0,11530000000.0,72750000.0,35770000.0,2.212,3.542,-2.964,1.633,21.9105,0.16483334,22.164083,22.586166,
188,1983,Australia,15190000.0,11700000000.0,70170000.0,34490000.0,3.8160000000000003,-0.125,10.094,-6.153,22.261084,0.19775,21.9105,22.164083,
250,1984,Australia,15420000.0,12460000000.0,70870000.0,36880000.0,34.232,19.347,-1.758,16.642,21.516916,0.18216667,22.261084,21.9105,
312,1985,Australia,15660000.0,13110000000.0,78490000.0,37090000.0,4.478,12.235999999999999,8.635,-16.393,22.043417,0.21158333,21.516916,22.261084,22.586166
374,1986,Australia,15920000.0,14610000000.0,77740000.0,37410000.0,29.934,9.347,12.377,8.21,22.09325,0.18208334,22.043417,21.516916,22.164083
436,1987,Australia,16180000.0,15070000000.0,85030000.0,38390000.0,25.762,15.875,3.065,6.822,22.072416,0.15758333,22.09325,22.043417,21.9105
498,1988,Australia,16450000.0,15720000000.0,87960000.0,40320000.0,41.325,20.403,3.599,17.323,22.630083,0.16433333,22.072416,22.09325,22.261084
560,1989,Australia,16710000.0,16140000000.0,95900000.0,41980000.0,47.82399999999999,20.194,13.882,13.747,21.862833,0.21291667,22.630083,22.072416,21.516916
622,1990,Australia,16960000.0,17700000000.0,95290000.0,42850000.0,17.04,10.389,0.884,5.767,22.35575,0.18575,21.862833,22.630083,22.043417
684,1991,Australia,17190000.0,16540000000.0,98880000.0,41850000.0,-9.137,8.917,-6.938,-11.115,22.487417,0.14941667,22.35575,21.862833,22.09325
747,1992,Australia,17400000.0,17100000000.0,101600000.0,42370000.0,9.971,2.6940000000000004,5.549,1.728,21.932583,0.22791667,22.487417,22.35575,22.072416
822,1993,Australia,17600000.0,17850000000.0,99570000.0,44190000.0,28.986,2.9309999999999996,6.124,19.931,22.160166,0.17575,21.932583,22.487417,22.630083
898,1994,Australia,17800000.0,18730000000.0,100300000.0,45760000.0,44.105,9.375,19.073,15.656,22.03025,0.21308333,22.160166,21.932583,21.862833
974,1995,Australia,17990000.0,20100000000.0,102500000.0,47090000.0,31.171000000000003,15.903,1.849,13.419000000000002,21.955166,0.15375,22.03025,22.160166,22.35575
1050,1996,Australia,18190000.0,20370000000.0,109900000.0,48280000.0,28.095,19.792,1.4110000000000003,6.892,22.325333,0.16083333,21.955166,22.03025,22.487417
1126,1997,Australia,18390000.0,20330000000.0,115400000.0,49230000.0,30.059,25.5,-3.522,8.081,22.086,0.18875,22.325333,21.955166,21.932583
1202,1998,Australia,18590000.0,21290000000.0,125700000.0,49500000.0,28.712,23.625,5.648,-0.561,22.664833,0.17075,22.086,22.325333,22.160166
1278,1999,Australia,18790000.0,21500000000.0,127900000.0,50800000.0,53.24699999999999,34.286,4.787,14.174,22.0645,0.177,22.664833,22.086,22.03025
1354,2000,Australia,18990000.0,22570000000.0,128100000.0,50660000.0,5.535,4.214,3.81,-2.489,21.709667,0.176,22.0645,22.664833,21.955166
1430,2001,Australia,19190000.0,23820000000.0,128200000.0,50610000.0,13.160000000000002,-5.972,16.142,2.9889999999999994,21.79275,0.16141666,21.709667,22.0645,22.325333
1506,2002,Australia,19400000.0,26160000000.0,130300000.0,51820000.0,18.092,13.183,6.455000000000001,-1.546,22.460833,0.17008333,21.79275,21.709667,22.086
1582,2003,Australia,19620000.0,27470000000.0,130800000.0,53750000.0,18.638,17.15,1.795,-0.307,22.440332,0.22516666,22.460833,21.79275,22.664833
1658,2004,Australia,19880000.0,28440000000.0,136000000.0,54650000.0,43.764,25.886,4.593,13.285000000000002,22.286917,0.164,22.440332,22.460833,22.0645
1734,2005,Australia,20180000.0,28720000000.0,138200000.0,55780000.0,-8.814,-3.701,-1.946,-3.166,22.896833,0.15566666,22.286917,22.440332,21.709667
1810,2006,Australia,20530000.0,28860000000.0,140800000.0,56340000.0,83.306,17.283,26.840999999999998,39.182,22.264416,0.20825,22.896833,22.286917,21.79275
1886,2007,Australia,20920000.0,32060000000.0,141600000.0,57360000.0,18.936,-5.684,30.768,-6.148,22.48675,0.15783334,22.264416,22.896833,22.460833
1962,2008,Australia,21330000.0,32670000000.0,140700000.0,57740000.0,23.296000000000003,27.492,-4.849,0.653,22.225916,0.16625,22.48675,22.264416,22.440332
2038,2009,Australia,21750000.0,34320000000.0,144600000.0,57980000.0,-19.447,-22.431,6.015,-3.031,22.690582,0.18433334,22.225916,22.48675,22.286917
2114,2010,Australia,22150000.0,34750000000.0,133500000.0,60550000.0,-5.534,-47.46099999999999,46.472,-4.545,22.078167,0.18141666,22.690582,22.225916,22.896833
2190,2011,Australia,22540000.0,35300000000.0,128800000.0,63610000.0,32.474,-15.336,14.995,32.816,21.767,0.18691666,22.078167,22.690582,22.264416
2266,2012,Australia,22900000.0,36590000000.0,127800000.0,65290000.0,-15.666000000000002,-37.594,1.076,20.852,22.0245,0.237,21.767,22.078167,22.48675
2342,2013,Australia,23250000.0,37730000000.0,117000000.0,66060000.0,-0.311,-28.222,17.828,10.083,22.142876,0.223625,22.0245,21.767,22.225916
3,1980,Austria,7610000.0,5268000000.0,6148000.0,13480000.0,-4.339,1.149,-1.966,-3.5209999999999995,5.6335835,0.24225,,,
65,1981,Austria,7605000.0,4503000000.0,6453000.0,13070000.0,-14.491,1.015,-2.25,-13.257,6.5035834,0.25683334,5.6335835,,
127,1982,Austria,7602000.0,4361000000.0,6111000.0,12140000.0,-10.343,-2.144,-1.469,-6.73,6.9185834,0.23,6.5035834,5.6335835,
