"Code","Year","Entity","Fossil.fuels..TWh.growth...sub.method.","Coal..TWh.growth...sub.method.","Gas..TWh.growth...sub.method.","Oil..TWh.growth...sub.method.","region","sub.region"
"ARE",1977,"United Arab Emirates",19.441,0,14.04,5.401,"Asia","Western Asia"
"ARE",1978,"United Arab Emirates",7.68,0,6.143,1.537,"Asia","Western Asia"
"ARE",2006,"United Arab Emirates",36.862,1.584,12.773,22.506,"Asia","Western Asia"
"ARE",2011,"United Arab Emirates",53.288,-2.479,23.645,32.122,"Asia","Western Asia"
"ARE",1979,"United Arab Emirates",10.06,0,3.413,6.647,"Asia","Western Asia"
"ARE",1980,"United Arab Emirates",40.909,0,5.46,35.449,"Asia","Western Asia"
"ARE",2008,"United Arab Emirates",119.992,2.415,100.339,17.238,"Asia","Western Asia"
"ARE",1994,"United Arab Emirates",41.382,0,29.933,11.45,"Asia","Western Asia"
"ARE",1983,"United Arab Emirates",-5.183,0,-5.558,0.375,"Asia","Western Asia"
"ARE",1989,"United Arab Emirates",38.305,0,30.128,8.177,"Asia","Western Asia"
"ARE",1996,"United Arab Emirates",14.973,0,23.01,-8.037,"Asia","Western Asia"
"ARE",2004,"United Arab Emirates",44.007,0.172,22.718,21.118,"Asia","Western Asia"
"ARE",1974,"United Arab Emirates",2.002,0,0.683,1.32,"Asia","Western Asia"
"ARE",1970,"United Arab Emirates",2.637,0,2.438,0.199,"Asia","Western Asia"
"ARE",1986,"United Arab Emirates",42.977,0,21.158,21.82,"Asia","Western Asia"
"ARE",1981,"United Arab Emirates",18.263,0,12.578,5.686,"Asia","Western Asia"
"ARE",1966,"United Arab Emirates",0.058,0,0,0.058,"Asia","Western Asia"
"ARE",1997,"United Arab Emirates",22.103,0,18.038,4.066,"Asia","Western Asia"
"ARE",2007,"United Arab Emirates",76.743,-1.699,56.622,21.819,"Asia","Western Asia"
"ARE",1991,"United Arab Emirates",75.963,0,33.638,42.325,"Asia","Western Asia"
"ARE",1982,"United Arab Emirates",10.328,0,3.023,7.305,"Asia","Western Asia"
"ARE",2009,"United Arab Emirates",-11.953,-0.807,-3.84,-7.306,"Asia","Western Asia"
"ARE",2003,"United Arab Emirates",39.472,0.194,14.04,25.238,"Asia","Western Asia"
"ARE",1968,"United Arab Emirates",1.538,0,1.424,0.114,"Asia","Western Asia"
"ARE",1992,"United Arab Emirates",-14.119,0,-15.698,1.578,"Asia","Western Asia"
"ARE",2017,"United Arab Emirates",14.876,3.354,19.497,-7.975,"Asia","Western Asia"
"ARE",2012,"United Arab Emirates",51.534,10.903,22.946,17.685,"Asia","Western Asia"
"ARE",1998,"United Arab Emirates",12.355,0,13.553,-1.197,"Asia","Western Asia"
"ARE",1984,"United Arab Emirates",32.411,0,21.743,10.669,"Asia","Western Asia"
"ARE",2014,"United Arab Emirates",-5.696,2.365,-13.147,5.085,"Asia","Western Asia"
"ARE",1995,"United Arab Emirates",20.309,0,20.28,0.029,"Asia","Western Asia"
"ARE",2010,"United Arab Emirates",44.491,4.468,16.836,23.187,"Asia","Western Asia"
"ARE",1976,"United Arab Emirates",6.331,0,2.73,3.601,"Asia","Western Asia"
"ARE",2019,"United Arab Emirates",1.184,0.608,16.038,-15.462,"Asia","Western Asia"
"ARE",1973,"United Arab Emirates",4.643,0,3.413,1.23,"Asia","Western Asia"
"ARE",2018,"United Arab Emirates",22.275,3.245,-2.884,21.914,"Asia","Western Asia"
"ARE",1969,"United Arab Emirates",0.024,0,-0.098,0.122,"Asia","Western Asia"
"ARE",1972,"United Arab Emirates",1.012,0,0.488,0.525,"Asia","Western Asia"
"ARE",1990,"United Arab Emirates",4.899,0,-3.51,8.409,"Asia","Western Asia"
"ARE",1985,"United Arab Emirates",39.332,0,18.915,20.417,"Asia","Western Asia"
"ARE",1967,"United Arab Emirates",4.495,0,4.427,0.068,"Asia","Western Asia"
"ARE",1971,"United Arab Emirates",5.032,0,4.778,0.255,"Asia","Western Asia"
"ARE",2005,"United Arab Emirates",29.375,0.229,17.94,11.205,"Asia","Western Asia"
"ARE",2015,"United Arab Emirates",113.538,-3.005,81.133,35.41,"Asia","Western Asia"
"ARE",2000,"United Arab Emirates",-2.198,0,0.098,-2.295,"Asia","Western Asia"
"ARE",2013,"United Arab Emirates",57.976,4.504,8.189,45.283,"Asia","Western Asia"
"ARE",2001,"United Arab Emirates",5.95,0.215,8.288,-2.553,"Asia","Western Asia"
"ARE",1975,"United Arab Emirates",1.564,0,-1.365,2.929,"Asia","Western Asia"
"ARE",1993,"United Arab Emirates",16.73,0,8.678,8.053,"Asia","Western Asia"
"ARE",1987,"United Arab Emirates",28.645,0,16.868,11.778,"Asia","Western Asia"
"ARE",1999,"United Arab Emirates",4.355,0,10.043,-5.688,"Asia","Western Asia"
"ARE",2016,"United Arab Emirates",48.043,1.464,11.772,34.807,"Asia","Western Asia"
"ARE",2002,"United Arab Emirates",50.563,0.881,40.56,9.121,"Asia","Western Asia"
"ARE",1988,"United Arab Emirates",28.761,0,1.56,27.201,"Asia","Western Asia"
"ARG",1983,"Argentina",13.648,-0.986,10.017,4.617,"Americas","Latin America and the Caribbean"
"ARG",1994,"Argentina",-2.975,-1.005,6.419,-8.389,"Americas","Latin America and the Caribbean"
"ARG",2006,"Argentina",25.251,-1.038,13.615,12.673,"Americas","Latin America and the Caribbean"
"ARG",1981,"Argentina",-16.552,-0.584,5.057,-21.025,"Americas","Latin America and the Caribbean"
"ARG",1985,"Argentina",-16.763,3.414,3.307,-23.484,"Americas","Latin America and the Caribbean"
"ARG",2005,"Argentina",40.88,1.442,24.799,14.64,"Americas","Latin America and the Caribbean"
"ARG",2017,"Argentina",-8.242,0.337,0.9,-9.479,"Americas","Latin America and the Caribbean"
"ARG",1986,"Argentina",47.132,1.51,12.545,33.077,"Americas","Latin America and the Caribbean"
"ARG",2007,"Argentina",53.852,4.437,20.617,28.799,"Americas","Latin America and the Caribbean"
"ARG",1989,"Argentina",-14.19,1.13,9.92,-25.24,"Americas","Latin America and the Caribbean"
"ARG",1984,"Argentina",-8.206,-2.495,9.239,-14.95,"Americas","Latin America and the Caribbean"
"ARG",1995,"Argentina",25.658,0.349,26.647,-1.338,"Americas","Latin America and the Caribbean"
"ARG",2018,"Argentina",-10.357,1.184,4.042,-15.583,"Americas","Latin America and the Caribbean"
"ARG",1966,"Argentina",10.365,-1.483,3.423,8.426,"Americas","Latin America and the Caribbean"
"ARG",1991,"Argentina",9.185,-1.472,3.598,7.059,"Americas","Latin America and the Caribbean"
"ARG",1973,"Argentina",11.589,0.845,9.783,0.961,"Americas","Latin America and the Caribbean"
"ARG",1978,"Argentina",-0.42,2.411,-2.82,-0.011,"Americas","Latin America and the Caribbean"
"ARG",2009,"Argentina",-27.561,-7.895,-13.532,-6.134,"Americas","Latin America and the Caribbean"
"ARG",1970,"Argentina",-20.482,2.6,6.739,-29.822,"Americas","Latin America and the Caribbean"
"ARG",1999,"Argentina",1.913,1.648,17.991,-17.726,"Americas","Latin America and the Caribbean"
"ARG",2008,"Argentina",16.117,3.156,4.765,8.196,"Americas","Latin America and the Caribbean"
"ARG",1976,"Argentina",21.442,0.132,10.989,10.321,"Americas","Latin America and the Caribbean"
"ARG",2012,"Argentina",30.272,-0.949,18.244,12.978,"Americas","Latin America and the Caribbean"
"ARG",1972,"Argentina",6.478,-1.626,7.722,0.382,"Americas","Latin America and the Caribbean"
"ARG",2015,"Argentina",15.116,-0.078,4.976,10.218,"Americas","Latin America and the Caribbean"
"ARG",2011,"Argentina",19.13,1.147,17.524,0.46,"Americas","Latin America and the Caribbean"
"ARG",1997,"Argentina",-24.966,-1.639,-23.632,0.305,"Americas","Latin America and the Caribbean"
"ARG",2003,"Argentina",49.193,1.008,41.915,6.27,"Americas","Latin America and the Caribbean"
"ARG",2000,"Argentina",8.305,-2.373,8.266,2.411,"Americas","Latin America and the Caribbean"
"ARG",1992,"Argentina",31.254,1.374,16.338,13.542,"Americas","Latin America and the Caribbean"
"ARG",1996,"Argentina",48.581,0.353,38.706,9.523,"Americas","Latin America and the Caribbean"
"ARG",1998,"Argentina",26.831,2.11,19.158,5.563,"Americas","Latin America and the Caribbean"
"ARG",1974,"Argentina",8.032,2.329,4.717,0.986,"Americas","Latin America and the Caribbean"
"ARG",1990,"Argentina",-25.222,-2.637,-9.239,-13.347,"Americas","Latin America and the Caribbean"
"ARG",1993,"Argentina",5.642,-4.098,12.156,-2.416,"Americas","Latin America and the Caribbean"
"ARG",1988,"Argentina",27.879,0.333,28.3,-0.754,"Americas","Latin America and the Caribbean"
"ARG",2014,"Argentina",-4.892,0.952,1.273,-7.117,"Americas","Latin America and the Caribbean"
"ARG",1987,"Argentina",18.63,1.33,0.097,17.203,"Americas","Latin America and the Caribbean"
"ARG",2019,"Argentina",-24.482,-7.361,-12.136,-4.984,"Americas","Latin America and the Caribbean"
"ARG",1967,"Argentina",9.533,0.869,2.042,6.622,"Americas","Latin America and the Caribbean"
"ARG",2010,"Argentina",41.842,3.851,2.519,35.472,"Americas","Latin America and the Caribbean"
"ARG",2001,"Argentina",-30.835,-1.356,-20.617,-8.862,"Americas","Latin America and the Caribbean"
"ARG",1975,"Argentina",-14.578,-0.315,2.101,-16.364,"Americas","Latin America and the Caribbean"
"ARG",1977,"Argentina",18.72,-0.634,4.376,14.978,"Americas","Latin America and the Caribbean"
"ARG",2004,"Argentina",47.23,3.926,31.801,11.503,"Americas","Latin America and the Caribbean"
"ARG",1980,"Argentina",-11.909,-1.357,9.239,-19.79,"Americas","Latin America and the Caribbean"
"ARG",1971,"Argentina",21.029,-1.445,4.658,17.815,"Americas","Latin America and the Caribbean"
"ARG",2002,"Argentina",-27.786,-1.571,-7.975,-18.241,"Americas","Latin America and the Caribbean"
"ARG",2013,"Argentina",29.364,1.27,3.635,24.459,"Americas","Latin America and the Caribbean"
"ARG",1968,"Argentina",10.9,-0.221,5.3,5.821,"Americas","Latin America and the Caribbean"
"ARG",1982,"Argentina",5.142,0.106,15.949,-10.913,"Americas","Latin America and the Caribbean"
"ARG",1979,"Argentina",18.722,-0.918,2.82,16.82,"Americas","Latin America and the Caribbean"
"ARG",1969,"Argentina",12.283,1.503,-0.195,10.974,"Americas","Latin America and the Caribbean"
"ARG",2016,"Argentina",4.032,-3.625,15.574,-7.917,"Americas","Latin America and the Caribbean"
"AUS",1997,"Australia",30.059,25.5,-3.522,8.081,"Oceania","Australia and New Zealand"
"AUS",1992,"Australia",9.971,2.694,5.549,1.728,"Oceania","Australia and New Zealand"
"AUS",1991,"Australia",-9.137,8.917,-6.938,-11.115,"Oceania","Australia and New Zealand"
"AUS",1981,"Australia",5.812,8.375,9.279,-11.842,"Oceania","Australia and New Zealand"
"AUS",1989,"Australia",47.824,20.194,13.882,13.747,"Oceania","Australia and New Zealand"
"AUS",1966,"Australia",40.301,7.361,0.01,32.93,"Oceania","Australia and New Zealand"
"AUS",1984,"Australia",34.232,19.347,-1.758,16.642,"Oceania","Australia and New Zealand"
"AUS",2005,"Australia",-8.814,-3.701,-1.946,-3.166,"Oceania","Australia and New Zealand"
"AUS",2011,"Australia",32.474,-15.336,14.995,32.816,"Oceania","Australia and New Zealand"
"AUS",1971,"Australia",24.747,0.875,8.523,15.349,"Oceania","Australia and New Zealand"
"AUS",1973,"Australia",40.91,10.056,9.995,20.86,"Oceania","Australia and New Zealand"
"AUS",1995,"Australia",31.171,15.903,1.849,13.419,"Oceania","Australia and New Zealand"
"AUS",2009,"Australia",-19.447,-22.431,6.015,-3.031,"Oceania","Australia and New Zealand"
"AUS",1967,"Australia",26.201,5.861,0,20.34,"Oceania","Australia and New Zealand"
"AUS",2014,"Australia",30.975,-4.356,29.264,6.067,"Oceania","Australia and New Zealand"
"AUS",1999,"Australia",53.247,34.286,4.787,14.174,"Oceania","Australia and New Zealand"
"AUS",2017,"Australia",2.194,-18.512,-4.838,25.545,"Oceania","Australia and New Zealand"
"AUS",1982,"Australia",2.212,3.542,-2.964,1.633,"Oceania","Australia and New Zealand"
"AUS",2010,"Australia",-5.534,-47.461,46.472,-4.545,"Oceania","Australia and New Zealand"
"AUS",1972,"Australia",27.098,10.361,11.248,5.489,"Oceania","Australia and New Zealand"
"AUS",2012,"Australia",-15.666,-37.594,1.076,20.852,"Oceania","Australia and New Zealand"
