,Year,Country,Population,Gas consumption,Coal consumption,Oil consumption,FossilFuelGrowth,CoalGrowth,GasGrowth,OilGrowth,AverageTemperature,AverageTemperatureUncertainty,TempMinus1,TempMinus2,TempMinus5,Gas cumsum,Coal cumsum,Oil cumsum,Latitude,Longitude,x,y,z
0,1980,Algeria,19220000.0,13030000000.0,92870.0,7026000.0,28.703,-0.093,27.913,0.884,23.160166,0.38291666,,,,13030000000.0,92870.0,7026000.0,28.0,3.0,0.9529725848340024,-0.13584294761264598,0.27090578830786904
1,1981,Algeria,19820000.0,9799000000.0,279100.0,7375000.0,37.721,-0.221,32.821,5.121,23.57925,0.35983333,23.160166,,,22829000000.0,371970.0,14401000.0,28.0,3.0,0.9529725848340024,-0.13584294761264598,0.27090578830786904
2,1982,Algeria,20450000.0,15660000000.0,746000.0,8304000.0,32.592,9.188,19.154,4.25,23.094168,0.34241667,23.57925,23.160166,,38489000000.0,1117970.0,22705000.0,28.0,3.0,0.9529725848340024,-0.13584294761264598,0.27090578830786904
3,1983,Algeria,21100000.0,18580000000.0,1210000.0,7898000.0,23.576000000000004,-1.047,15.304,9.319,23.683,0.333,23.094168,23.57925,,57069000000.0,2327970.0,30603000.0,28.0,3.0,0.9529725848340024,-0.13584294761264598,0.27090578830786904
4,1984,Algeria,21760000.0,19260000000.0,1247000.0,8710000.0,-11.412,0.9419999999999998,-21.464,9.11,23.063084,0.37366667,23.683,23.094168,,76329000000.0,3574970.0,39313000.0,28.0,3.0,0.9529725848340024,-0.13584294761264598,0.27090578830786904
5,1985,Algeria,22430000.0,16540000000.0,1247000.0,9582000.0,1.527,0.419,-1.444,2.552,23.52625,0.35875,23.063084,23.683,23.160166,92869000000.0,4821970.0,48895000.0,28.0,3.0,0.9529725848340024,-0.13584294761264598,0.27090578830786904
6,1986,Algeria,23100000.0,17050000000.0,1260000.0,9651000.0,16.365,0.267,14.63,1.467,23.256666,0.33566666,23.52625,23.063084,23.57925,109919000000.0,6081970.0,58546000.0,28.0,3.0,0.9529725848340024,-0.13584294761264598,0.27090578830786904
7,1987,Algeria,23770000.0,18580000000.0,1277000.0,9721000.0,6.941,2.012,3.85,1.079,24.24775,0.32741666,23.256666,23.52625,23.094168,128499000000.0,7358970.0,68267000.0,28.0,3.0,0.9529725848340024,-0.13584294761264598,0.27090578830786904
8,1988,Algeria,24440000.0,20160000000.0,1296000.0,10030000.0,21.188,-0.733,21.849,0.072,23.815666,0.34233335,24.24775,23.256666,23.683,148659000000.0,8654970.0,78297000.0,28.0,3.0,0.9529725848340024,-0.13584294761264598,0.27090578830786904
9,1989,Algeria,25110000.0,18690000000.0,1313000.0,10620000.0,-8.481,-1.7909999999999997,-11.454,4.764,23.724333,0.29991665,23.815666,24.24775,23.063084,167349000000.0,9967970.0,88917000.0,28.0,3.0,0.9529725848340024,-0.13584294761264598,0.27090578830786904
